rule,wolfram_class,mean_H,std_H,opacity,t_comp,gzip_ratio,complexity
B3/S23,C4,0.58906,0.06324,0.0,0.87976,0.10256,0.17057531
B36/S23,C4,0.63196,0.04605,0.0,0.85541,0.10948,0.24068953
B3/S12345,C4,0.99254,0.00014,0.0,0.999,0.09523,0.00402772
B36/S125,C4,0.85043,0.02614,0.0,0.71502,0.14839,0.24310824
B368/S245,C4,0.58235,0.17078,0.0,0.86951,0.09662,0.1936481
B2/S34,C3,0.91101,0.0124,0.0,0.64855,0.15608,0.12715731
B3/S0,C3,0.23963,0.0,0.0,0.99925,0.01426,0.00185941
B25/S4,C3,0.84397,0.01803,0.0,0.51521,0.14956,0.00201004
B36/S2,C3,0.03708,0.0,0.0,0.997,0.00371,0.00124769
B38/S23,C3,0.55199,0.06173,0.0,0.89335,0.0943,0.13092495
B3/S2345,C2,0.99062,9e-05,0.0,0.9995,0.04816,0.00235577
B36/S1245,C2,0.99697,0.0021,0.0,0.65895,0.16017,0.01590144
B3/S345,C2,0.98457,0.00677,0.0,0.97024,0.12116,0.02535414
B34/S3456,C2,0.92403,0.0,0.0,1.0,0.03454,0.00362484
B35/S3456,C2,0.90109,0.00142,0.0,0.99639,0.05618,0.0076797
B3/S12,C2,0.2489,0.04044,0.0,0.99308,0.02093,0.00221635
B368/S2345,C2,0.99152,0.00462,0.0,0.70414,0.16008,0.0959371
B1/S123,C1,0.95568,0.00017,0.0,0.99775,0.03649,0.00408815
B1234/S2,C1,0.98601,0.00674,0.0,0.15977,0.14889,0.0
B1/S1,C1,0.77531,0.03018,0.0,0.61792,0.13916,0.04373061
B0/S,C1,0.48392,0.23375,0.0,0.15713,0.02956,0.0
